code,description
188,Abattoir
1,Accountancy
189,Acoustic Engineer
190,Actuarial Consultancy
191,Acupuncture
881,Addressing/Circularising Services
192,Adjuster
2,Advertising
193,Aerial Erector
194,Aerial Manufacturer
195,Aerial Photography
196,Aerial Supplier
197,Aerial Survey
798,Aerospace Industry
198,Agricultural Engineer
882,Agricultural Produce Distribution
199,Agriculture
936,Air Conditioning
203,Airline
200,Aircraft Construction
201,Aircraft Maintenance
202,Aircraft Repair
203,Airline
906,Airport Services
906,Airport Services
204,Ambulance Authority
5,Amusement
6,Amusement Arcade
205,Amusement Machine Supplier
206,Animal Breeding
799,Animal Feeds
838,Animal Rescue Home
907,Animal Training
206,Animal Breeding
898,Anthropology
207,Antique Restoration
8,Antiques
901,Arable Farming
208,Arbitration
977,Arboriculture
9,Architecture
163,Armed Forces - Foreign
162,Armed Forces - Republic Of Ireland
408,HM Forces
209,Armed Forces - USA
210,Art
211,Art Gallery
212,Art Restoration
213,Art Valuation
210,Art
214,Asphalt Contractor
214,Asphalt Contractor
215,Assessor
216,Astrology
217,Astronomy
218,Auction House
14,Auctioneer
808,Auditors
952,Auxiliary Plant
219,Baby Food Manufacturer
220,Baby Goods Manufacturer
221,Baby Goods Shop
222,Bagpipe Maker
224,Bakery
223,Bakers Supplies
224,Bakery
15,Banking
225,Barrel Makers
226,Bathroom Design
227,Bathroom Installation
171,Beauticians
809,Beauty Salon
944,Bed And Breakfast - Licensed
945,Bed And Breakfast - Unlicensed
228,Betting Shop
955,Bicycle Manufacture
839,Bingo Hall
229,Blacksmith
230,Blast Cleaning
231,Blind Installation
232,Blind Manufacturer
233,Boarding Kennel
234,Boat Builder
235,Boat Hirer
236,Bookmaker - Off Course
237,Bookmaker - On Course
236,Bookmaker - Off Course
237,Bookmaker - On Course
238,Booksellers
239,Bottled Gas Supplier
240,Brass Foundry
241,Breakdown Recovery
242,Breeding
18,Brewery
243,Brewery Transport
244,Brick Manufacturer
245,Brick Supplier
933,British Army
19,Broadcasting
246,Builder
247,Builders Merchant
20,Building Society
21,Building Trade
322,Earth Removers
248,Business Consultancy
822,Business Systems
249,Business Training
250,Butchers
251,Cabinet Maker
252,Cable Manufacturer
840,Cable TV Installation
253,Cafe
254,Camp Site
255,Candle Dealer
256,Car Accessory Dealer
257,Car Delivery
258,Car Hire
259,Car Park Operator
260,Car Sales
261,Car Valeting
262,Caravan Hirer
970,Caravan Park - Residential
263,Caravan Sales
264,Caravan Service
265,Caravan Site
265,Caravan Site
266,Carpentry
267,Carpet Fitting
268,Cartography
269,Cash & Carry
23,Casino
270,Cask Maker
884,Catalogue Co-ordination
883,Catalogue Distribution
24,Catering - Licensed
25,Catering - Unlicensed
271,Cattery
913,Ceiling Contractor
272,Cement Suppliers
272,Cement Suppliers
273,Central Heating Services
26,Charity
274,Chartering
810,Chemical Industry
817,Chemical Manufacturer
275,Chemist Shop
854,Child Minding
958,Childrens Home
276,Childrens Panel
277,Chimney Sweeping
278,Chiropody
279,Choreography
960,Church
959,Church Army
27,Cinema
28,Circus
893,Citizens Advice Bureau
280,Civil Aviation
281,Civil Engineering
29,Civil Service
281,Civil Engineering
282,Cleaning Services
885,Clerical Services
283,Clock & Watch Manufacturer
284,Clock & Watch Repair
858,Clothing Manufacturer
31,Clothing Trade
32,Club
285,Coach Hirer
286,Coachbuilder
33,Coal Industry
287,Coal Merchant
288,Coffee Shop
289,Coin & Medal Dealer
290,Cold Store
291,Commissioners For Oaths
34,Commodities
292,Commodity Brokerage
293,Communications
294,Community Service
818,Computer Aided Design
824,Computer Distribution
812,Computer Sales
295,Computer Services
886,Computer Supplies
181,Computers
35,Computers - Hardware
36,Computers - Software
296,Concrete Supplier
297,Confectionery Manufacturer
160,Construction Industry
298,Consulting Engineering
299,Contact Lens Manufacturer
300,Container Hire
301,Conveyancers
825,Corporate Hospitality
811,Cosmetics
302,Costumiers
303,Cotton Mill
953,Country Court
304,Courier Services
304,Courier Services
305,Crane Hire
306,Crane Manufacturer
149,Crop Spraying
38,Customs and Excise
307,Cutlery Craftsmen
308,Cycle Hire
309,Cycle Shop
39,Dairy
900,Dairy Farming
954,Dance Band
310,Data Processing
311,Data Protection
911,Dating Agency
962,Day Centre
40,Debt Collection
312,Decorating
866,Delicatessen
313,Delivery Service
41,Demolition
42,Dentistry
314,Department Store
833,Design Consultancy
887,Desktop Publishing Services
315,Despatch Services
29,Civil Service
44,Discotheque
316,Distillers
813,Distribution
317,DIY Store
318,Dock Authority
157,Domestic Appliance Maintenance
319,Domestic Service
172,Double Glazing
937,Drainage
45,Drapery
320,Driving Authority
46,Driving Instruction
321,Driving School
800,Dry Cleaning
938,Dry Lining
322,Earth Removers
897,Ecology
323,Education
47,Education - Private
138,Education - State
324,Effluent Disposal
325,Egg Merchants
823,Electrical Appliance Manufacturer
326,Electrical Contractors
834,Electrical Goods Consultancy
48,Electricity Industry
49,Electronics
327,Embossers
50,Emergency Services
328,Employment Agency
939,Energy Conservation
329,Energy Consultancy
956,Energy Supplier
139,Engineering
330,Engineering Consultants
182,Engraving
51,Entertainment
869,Environmental Health
52,Estate Agency
331,Excavation
332,Exhibition Centre
333,Exhibition Organisers
334,Export
335,Export Agency
336,Exporter
337,Fabric Manufacturer
867,Fabrications
53,Fairground
876,Falconry
168,Fancy Goods
338,Fancy Goods Importer
54,Farming
920,Fascia Board Installer
55,Fashion
339,Fashion Design
340,Fashion House
841,Fast Food
341,Fencing Manufacturer
342,Ferry Service
343,Fertilizer Manufacturer
344,Fibre Glass Manufacturer
345,Filling Station
346,Film Manufacturing
347,Film Processing
348,Film Production
348,Film Production
349,Finance Company
350,Financial Advisors
56,Financial Services
351,Fire Protection
963,Fire Service
352,Fireplace Installer
353,Fireplace Manufacturer
354,Fish & Chip Shop
355,Fish Farm
150,Fish Merchants
