code,description
001,Abattoir Worker
002,Accounts Assistant
003,Accounts Clerk
004,Actor
005,Actress
006,Acupuncturist
007,Administration Assistant
008,Administration Clerk
009,Administrator
010,Advertising Assistant
011,Advertising Clerk
012,Advertising Manager
013,Aerial Erector
014,Aerobic Instructor
015,Agricultural Engineer
016,Aircraft Designer
017,Airline Check-in Staff
018,Airman
019,Almoner
020,Anaesthetist
021,Animal Breeder
022,Arbitrator
023,Architects Technician
024,Art Critic
025,Articled Clerk
026,Asphalter
027,Astrologer
028,Astronomer
029,Auto Electrician
030,Auxiliary Nurse
031,Bacon Curer
032,Bank Clerk
033,Bank Manager
034,Bar Manager
035,Bar Steward
036,Barber
037,Barmaid
038,Barman
039,Bill Poster
040,Biochemist
041,Biologist
042,Blinds Installer
043,Boiler Maker
044,Book Binder
045,Book Seller
046,Botanist
047,Brewer
048,Broadcaster
049,Builders Labourer
050,Building Foreman
051,Bus Driver
052,Butler
053,Cabinet Maker
054,Cameraman
055,Car Builder
056,Car Salesman
057,Careers Officer
059,Caulker
060,Certified Accountant
061,Chandler
062,Charity Worker
063,Chartered Accountant
064,Chartered Surveyor
065,Chemist
066,Chicken Sexer
068,Chiropractor
069,Choreographer
070,Church Officer
071,Church Warden
072,Claims Adjustor
073,Claims Assessor
074,Clergyman
075,Cleric
076,Clock Maker
077,Coach Builder
078,Coach Driver
079,Coal Merchant
080,Commercial Artist
081,Commercial Traveller
082,Commissioned Officer
083,Community Worker
084,Company Director
085,Composer
086,Computer Analyst
087,Computer Engineer
088,Consultant
089,Conveyancer
090,Cook
091,Cooper
092,Council Worker
093,Counsellor
094,Crane Driver
095,Credit Manager
096,Crofter
097,Customs & Excise Officer
098,Cutler
099,Cutter
100,Dancer
101,Decorator
102,Delivery Courier
103,Demonstrator
104,Dental Assistant
105,Dental Hygienist
106,Dental Nurse
107,Dental Technician
108,Dentist
109,Dermatologist
110,Despatch Worker
111,Dietician
112,Dinner Lady
113,Diplomat
114,Dockyard Worker
115,Doctor
116,Dog Breeder
117,Double Glazing Salesman
118,Drayman
119,Dustman
120,Dyer
121,Electronic Engineer
122,Embalmer
123,Embassy Staff
124,Environmental Health Officer
125,Exhaust Fitter
126,Exhibition Organiser
127,Exotic Dancer
128,Fabricator
129,Fast Food Delivery Driver
130,Fence Erector
131,Fibre Glass Moulder
132,Film Director
133,Film Producer
134,Film Technician
135,Firefighter
136,Fish Fryer
137,Fitness Instructor
138,Flight Deck Crew
139,Foundry Worker
140,French Polisher
141,Fuel Merchant
142,Funeral Director
143,Funeral Furnisher
144,Gas Fitter
145,Gas Technician
146,General Manager
147,Glazier
148,Green Keeper
149,Guard
150,Guest House Proprietor
151,Gun Smith
152,Gynaecologist
153,Heating & Ventilation Engineer
154,Heating Engineer
155,Herbalist
156,Hod Carrier
157,Homeopath
158,Horse Breeder
161,Horse Trader
162,Hotelier
163,Househusband
164,Housing Officer
165,Insurance Assessor
166,Insurance Inspector
167,Insurance Representative
168,Interior Decorator
169,Interviewer
170,Janitor
171,Justice Of The Peace
172,Keep Fit Instructor
173,Kennel Maid
174,Kissagram Person
175,Kitchen Worker
176,Landlord
177,Laundry Worker
178,Lavatory Attendant
179,Leather Worker
180,Leisure Centre Attendant
181,Lens Grinder & Polisher
182,Licensee
183,Lift Attendant
184,Lift Engineer
185,Lighting Technician
186,Line Worker
187,Linguist
188,Literary Agent
189,Lorry Driver
190,Loss Adjustor
191,Loss Assessor
192,Lumberjack
193,Magistrates Clerk
194,Managing Director
195,Manicurist
196,Marine Pilot
197,Marketing Assistant
198,Marketing Executive
199,Marketing Manager
200,Masseur
201,Masseuse
202,Merchant Seaman
203,Metal Dealer
204,Microbiologist
205,Milkman
206,Mill Worker
207,Miller
208,Mineralologist
209,Minicab Driver
210,Mobile Hairdresser
211,Mobile Service Engineer
212,Mortgage Broker
213,Mortician
214,Motor Engineer
215,Motor Mechanic
216,Navigator
